anchor_id,east_m,north_m,up_m,heading_deg,radius_m,notes
a00,-1314.899996,562.928488,170.260621,0,10,asian_village_hills_background_a00; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a01,-1204.099996,-1201.981512,72.540621,0,10,asian_village_hills_background_a01; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a02,-229.919996,-60.161512,47.060621,0,10,asian_village_hills_background_a02; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a03,-15.329996,-316.171512,47.060621,0,10,asian_village_hills_background_a03; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a04,26.670004,6.728488,47.060621,0,10,asian_village_hills_background_a04; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a05,217.290004,-1456.831512,108.870621,0,10,asian_village_hills_background_a05; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a06,404.490004,784.068488,47.060621,0,10,asian_village_hills_background_a06; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a07,642.190004,107.258488,70.980621,0,10,asian_village_hills_background_a07; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a08,805.110004,-782.401512,47.060621,0,10,asian_village_hills_background_a08; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
a09,987.860004,-57.471512,47.060621,0,10,asian_village_hills_background_a09; 9/9 cells; worst pairwise 0.0000 m; seeded mechanically from evaluations/sim-ext-inventory (commit d903784); exact recovered cluster centers; human-confirmable authority per research R2
